id,title,vote_average,vote_count,release_date,revenue,runtime,adult,budget,popularity,poster_path,genres
36657,X-Men,6.996,10530,2000-07-13,296339527,104,False,75000000,1.259,/bRDAc4GogyS9ci3ow7UnInOcriN.jpg,"Adventure, Action, Science Fiction"
8681,Taken,7.387,10432,2008-02-18,226830568,94,False,25000000,58.646,/y5Va1WXDX6nZElVirPrGxf6w99B.jpg,"Action, Thriller"
115,The Big Lebowski,7.842,10390,1998-03-06,47010480,117,False,15000000,30.996,/3bv6WAp6BSxxYvB5ozKFUYuRA8C.jpg,"Comedy, Crime"
207,Dead Poets Society,8.312,10311,1989-06-02,235860116,128,False,16400000,38.942,/ai40gM7SUaGA6fthvsd87o8IQq4.jpg,Drama
372058,Your Name.,8.514,10303,2016-08-26,357986087,106,False,0,68.999,/q719jXXEzOoYaps6babgKnONONX.jpg,"Romance, Animation, Drama"
562,Die Hard,7.775,10202,1988-07-15,140767956,131,False,28000000,36.754,/yFihWxQcmqcaBR31QM6Y8gT6aYV.jpg,"Action, Thriller"
291805,Now You See Me 2,6.83,10172,2016-06-02,334901337,129,False,90000000,33.753,/A81kDB6a1K86YLlcOtZB27jriJh.jpg,"Crime, Thriller, Action, Mystery"
266856,The Theory of Everything,7.86,10069,2014-11-26,123726688,123,False,15000000,20.867,/wucOQrqihOtHToP7UAPKMFRJ9LL.jpg,"Drama, Romance"
242582,Nightcrawler,7.703,10032,2014-10-23,50300000,118,False,8500000,44.274,/j9HrX8f7GbZQm1BrBiR40uFQZSb.jpg,"Crime, Drama, Thriller"
75612,Oblivion,6.618,10015,2013-04-10,286168572,124,False,120000000,30.901,/eO3r38fwnhb58M1YgcjQBd3VNcp.jpg,"Action, Science Fiction, Adventure, Mystery"
13223,Gran Torino,7.994,10003,2008-12-12,269958228,116,False,33000000,35.849,/zUybYvxWdAJy5hhYovsXtHSWI1l.jpg,Drama
18,The Fifth Element,7.53,9947,1997-05-02,263920180,126,False,90000000,49.67,/fPtlCO1yQtnoLHOwKtWz7db6RGU.jpg,"Adventure, Fantasy, Action, Thriller, Science Fiction"
12405,Slumdog Millionaire,7.734,9916,2008-11-12,378410542,120,False,15000000,22.969,/5leCCi7ZF0CawAfM5Qo2ECKPprc.jpg,"Drama, Romance"
51876,Limitless,7.186,9900,2011-03-08,161849455,105,False,27000000,33.384,/hv5JMCrMVLvV6HKPf9FcBuyk2MG.jpg,"Thriller, Mystery, Science Fiction"
84892,The Perks of Being a Wallflower,7.8,9844,2012-09-20,33400000,103,False,13000000,40.616,/aKCvdFFF5n80P2VdS7d8YBwbCjh.jpg,Drama
1417,Pan's Labyrinth,7.757,9839,2006-10-10,83258226,118,False,19000000,35.672,/2VVhikIxoztAXEDQZLOdtBsu6vf.jpg,"Fantasy, Drama, War"
8844,Jumanji,7.239,9833,1995-12-15,262821940,104,False,65000000,13.444,/vgpXmVaVyUL7GGiDeiK1mKEKzcX.jpg,"Adventure, Fantasy, Family"
1359,American Psycho,7.4,9797,2000-04-13,34266564,102,False,7000000,55.224,/9uGHEgsiUXjCNq8wdq4r49YL8A1.jpg,"Thriller, Drama, Crime"
2080,X-Men Origins: Wolverine,6.254,9797,2009-04-28,373062864,107,False,150000000,4.317,/yj8LbTju1p7CUJg7US2unSBk33s.jpg,"Adventure, Action, Thriller, Science Fiction"
58574,Sherlock Holmes: A Game of Shadows,7.13,9742,2011-11-22,334615000,129,False,125000000,31.501,/y1MYZkwhZK6L0Jy4YMuPktzDOfn.jpg,"Adventure, Action, Crime, Mystery"
458156,John Wick: Chapter 3 - Parabellum,7.447,9711,2019-05-15,326709727,131,False,55000000,80.825,/ziEuG1essDuWuC5lpWUaw1uXY2O.jpg,"Action, Thriller, Crime"
196,Back to the Future Part III,7.465,9679,1990-05-25,244527583,119,False,40000000,33.735,/crzoVQnMzIrRfHtQw0tLBirNfVg.jpg,"Adventure, Comedy, Science Fiction"
294254,Maze Runner: The Scorch Trials,6.7,9669,2015-09-09,312296056,131,False,61000000,42.487,/2TZJ7sZd0thhXHvkPJGoPTtM8Bq.jpg,"Science Fiction, Action, Thriller, Adventure"
600,Full Metal Jacket,8.136,9665,1987-06-26,46357676,117,False,30000000,40.541,/kMKyx1k8hWWscYFnPbnxxN4Eqo4.jpg,"Drama, War"
495764,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),7.0,9654,2020-02-05,205372791,108,False,75000000,49.33,/h4VB6m0RwcicVEZvzftYZyKXs6K.jpg,"Action, Crime"
510,One Flew Over the Cuckoo's Nest,8.42,9650,1975-11-19,108981275,133,False,3000000,36.673,/3jcbDmRFiQ83drXNOvRDeKHxS0C.jpg,Drama
